lr,Batch size,Number of filters,Kernel size,Pooling size,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss
0.001,128,48,1,1,0.5,1,0.06594856,0.210375907,0.312816004,0.437326885,8.627220684,67.09811667
0.001,128,48,1,1,0.5,2,0.062607166,0.169927457,0.243657947,0.349395472,7.156865527,11.04229275
0.001,128,48,1,1,0.5,3,0.086612442,0.245416575,0.358672236,0.498131457,6.27139485,6.279073515
0.001,128,48,1,3,0.5,1,0.089470213,0.319674654,0.453770059,0.592965487,4.418525457,5.772578813
0.001,128,48,1,3,0.5,2,0.132600572,0.409188833,0.538404045,0.673774456,4.213230267,4.889904454
0.001,128,48,1,3,0.5,3,0.136161794,0.430732029,0.558979996,0.690701253,4.184908008,4.398442466
0.001,128,48,1,5,0.5,1,0.108067707,0.328335898,0.45632007,0.595119807,4.400254247,5.549508944
0.001,128,48,1,5,0.5,2,0.135854034,0.418421631,0.552121345,0.685777094,4.083115267,4.983589279
0.001,128,48,1,5,0.5,3,0.13251264,0.401099143,0.545570455,0.679446032,4.087689763,4.475863887
0.001,128,48,3,1,0.5,1,0.152824797,0.385711145,0.51694878,0.657507144,4.190472525,6.873259647
0.001,128,48,3,1,0.5,2,0.172301605,0.415651792,0.551989448,0.689865905,4.19889454,2.988443742
0.001,128,48,3,1,0.5,3,0.168432623,0.42211475,0.56016707,0.704638382,4.381003095,2.344341239
0.001,128,48,3,3,0.5,1,0.140118707,0.41116729,0.548911849,0.685425368,4.140240415,5.04814867
0.001,128,48,3,3,0.5,2,0.129083315,0.377225764,0.51787206,0.660364915,4.20591983,4.049973082
0.001,128,48,3,3,0.5,3,0.136293691,0.40123104,0.546493735,0.690129699,4.164961811,3.582236469
0.001,128,48,3,5,0.5,1,0.144867004,0.426379424,0.558540339,0.686084854,4.223460776,5.224639305
0.001,128,48,3,5,0.5,2,0.151505825,0.411343152,0.547065289,0.683095186,4.101640996,4.660907737
0.001,128,48,3,5,0.5,3,0.147109255,0.409584524,0.548955814,0.686304682,4.074214934,4.131226217
0.001,128,48,5,1,0.5,1,0.188788745,0.431787206,0.556386019,0.69175643,4.02379342,5.292995039
0.001,128,48,5,1,0.5,2,0.185623214,0.439129479,0.575247307,0.718443614,4.127902829,2.827073074
0.001,128,48,5,1,0.5,3,0.167597274,0.423697516,0.563552429,0.712508244,4.37590052,2.219029397
0.001,128,48,5,3,0.5,1,0.156737745,0.440492416,0.577533524,0.709518576,4.022474067,5.068193352
0.001,128,48,5,3,0.5,2,0.146229941,0.40123104,0.536337657,0.68212794,4.10665472,4.047221693
0.001,128,48,5,3,0.5,3,0.147900638,0.405363816,0.546361838,0.689118488,4.158013192,3.471024873
0.001,128,48,5,5,0.5,1,0.149351506,0.425368213,0.561046384,0.697208178,4.166933212,5.161671019
0.001,128,48,5,5,0.5,2,0.141173884,0.408485381,0.54429545,0.68182018,4.097003811,4.609919954
0.001,128,48,5,5,0.5,3,0.145746318,0.398856892,0.537216971,0.679446032,4.075632977,4.099673713
0.001,128,64,1,1,0,1,0.122180699,0.308419433,0.372917125,0.454561442,9.902354455,95.72689363
0.001,128,64,1,1,0,2,0.137348868,0.363200703,0.479709826,0.603517257,7.08439168,12.38226019
0.001,128,64,1,1,0,3,0.123939327,0.335414377,0.434864805,0.544163552,6.060896319,7.878626359
0.001,128,64,1,1,0.25,1,0.020795779,0.123103979,0.215300066,0.334491097,9.581107215,112.0575523
0.001,128,64,1,1,0.25,2,0.064102,0.236579468,0.338491976,0.446427786,10.48842392,17.41176831
0.001,128,64,1,1,0.25,3,0.136073862,0.331941086,0.436711365,0.556825676,7.678147745,11.05991672
0.001,128,64,1,3,0,1,0.128511761,0.332292812,0.511892724,0.628753572,4.338921333,5.59948897
0.001,128,64,1,3,0,2,0.146449769,0.447966586,0.568388657,0.682347769,4.211503279,4.408006477
0.001,128,64,1,3,0,3,0.138228182,0.421631128,0.568652451,0.699670257,4.250141814,3.790269478
0.001,128,64,1,3,0.25,1,0.119498791,0.32442295,0.444537261,0.580083535,4.456707006,5.847065045
0.001,128,64,1,3,0.25,2,0.075972741,0.322664322,0.479050341,0.632798417,4.44104679,4.842252426
0.001,128,64,1,3,0.25,3,0.135634205,0.437414816,0.561354144,0.691536601,4.212949504,4.170764101
0.001,128,64,3,1,0,1,0.164211915,0.405979336,0.535326445,0.66933392,4.226785396,6.993802956
0.001,128,64,3,1,0,2,0.204792262,0.482567597,0.61116729,0.732644537,4.197689225,2.49949316
0.001,128,64,3,1,0,3,0.172477468,0.434073423,0.584919763,0.729786766,4.597393375,1.668460511
0.001,128,64,3,1,0.25,1,0.191998241,0.444757089,0.573180919,0.705165971,3.946630754,7.369214507
0.001,128,64,3,1,0.25,2,0.205451748,0.466476149,0.593537041,0.723763464,4.0717997,2.705847703
0.001,128,64,3,1,0.25,3,0.183776654,0.437766542,0.570279182,0.710485821,4.423717828,1.922218857
0.001,128,64,3,3,0,1,0.162013629,0.427566498,0.565970543,0.704770279,4.080542643,4.92795527
0.001,128,64,3,3,0,2,0.138623873,0.411123324,0.560826555,0.708331501,4.101431378,3.309393191
0.001,128,64,3,3,0,3,0.147373049,0.41617938,0.56825676,0.716728951,4.3392372,2.425235714
0.001,128,64,3,3,0.25,1,0.142844581,0.406682787,0.547944603,0.687579688,4.109493505,5.009346343
0.001,128,64,3,3,0.25,2,0.150670477,0.403077599,0.539635085,0.683930534,4.087812855,3.670484533
0.001,128,64,3,3,0.25,3,0.142844581,0.40123104,0.553088591,0.701296988,4.205796224,2.920709264
0.001,128,64,5,1,0,1,0.207869862,0.47311497,0.600483623,0.721301385,3.900754158,5.290273119
0.001,128,64,5,1,0,2,0.20747417,0.472323588,0.599340514,0.724906573,4.241442059,2.377502186
0.001,128,64,5,1,0,3,0.177181798,0.440536382,0.579555946,0.719234997,4.804941113,1.615209214
0.001,128,64,5,1,0.25,1,0.203209497,0.463882172,0.595911189,0.725566058,3.891949466,5.274940174
0.001,128,64,5,1,0.25,2,0.171422291,0.432402726,0.568960211,0.712772038,4.235980633,2.545949116
0.001,128,64,5,1,0.25,3,0.19221807,0.445328644,0.585579248,0.727368652,4.463305783,1.838455929
0.001,128,64,5,3,0,1,0.171598153,0.452451088,0.586986151,0.711540998,3.981510105,4.834975473
0.001,128,64,5,3,0,2,0.165926577,0.440316553,0.578896461,0.720773796,4.046547584,3.170955922
0.001,128,64,5,3,0,3,0.151681688,0.430028578,0.578456804,0.72565399,4.266828925,2.265567039
0.001,128,64,5,3,0.25,1,0.167597274,0.440272587,0.573752473,0.706616839,4.047565849,5.023049458
0.001,128,64,5,3,0.25,2,0.159639481,0.414904375,0.555638602,0.698043526,4.004641189,3.680269392
0.001,128,64,5,3,0.25,3,0.162057595,0.424796659,0.561705869,0.703363377,4.107081208,2.85046891
0.001,128,128,1,1,0,1,0.023257859,0.080633106,0.129698835,0.203781051,10.6666894,118.1038187
0.001,128,128,1,1,0,2,0.148428226,0.283578809,0.367597274,0.481380523,9.623001792,13.89625983
0.001,128,128,1,1,0,3,0.102528028,0.320729831,0.430468235,0.535414377,7.64601596,8.006523429
0.001,128,128,1,1,0.25,1,0.062431304,0.283754671,0.367992965,0.460145087,9.096996902,105.2871532
0.001,128,128,1,1,0.25,2,0.061332161,0.182941306,0.286700374,0.397098263,8.603675031,15.56575244
0.001,128,128,1,1,0.25,3,0.068938228,0.192306001,0.297296109,0.439788965,7.400654193,8.621418348
0.001,128,128,1,3,0,1,0.085645197,0.330490218,0.425895801,0.559463618,4.552303606,5.865052876
0.001,128,128,1,3,0,2,0.091580567,0.395823258,0.52534623,0.636755331,4.348092707,4.690067637
0.001,128,128,1,3,0,3,0.136337657,0.425148384,0.550318751,0.688107276,4.293842099,3.952666596
0.001,128,128,1,3,0.25,1,0.128072104,0.332029017,0.433941526,0.538228182,4.486229505,5.92433771
0.001,128,128,1,3,0.25,2,0.105693559,0.354143768,0.476764124,0.610112113,4.315132716,4.958366817
0.001,128,128,1,3,0.25,3,0.110969444,0.3984612,0.523367773,0.660189053,4.32564257,4.298810327
0.001,128,128,3,1,0,1,0.147285118,0.391338756,0.530885909,0.674389976,4.173496561,8.259058456
0.001,128,128,3,1,0,2,0.192569796,0.451835568,0.587381842,0.72257639,4.175367914,2.606941948
0.001,128,128,3,1,0,3,0.170191251,0.434908771,0.574455924,0.71633326,4.589864305,1.727413297
0.001,128,128,3,1,0.25,1,0.167685206,0.406111233,0.536029897,0.668982194,4.165968189,7.69353585
0.001,128,128,3,1,0.25,2,0.181710266,0.449021763,0.587865465,0.719191031,4.239309898,2.708356696
0.001,128,128,3,1,0.25,3,0.170806771,0.43266652,0.576918004,0.720202242,4.557001701,1.933685228
0.001,128,128,3,3,0,1,0.141745439,0.424752693,0.571158496,0.706045285,4.046617847,4.991941444
0.001,128,128,3,3,0,2,0.144647175,0.414508683,0.560914487,0.70015388,4.093670329,3.460172403
0.001,128,128,3,3,0,3,0.151066168,0.404924159,0.551857551,0.703363377,4.273136026,2.509181616
0.001,128,128,3,3,0.25,1,0.159023961,0.422510442,0.557177402,0.686788305,4.077107467,4.997223808
0.001,128,128,3,3,0.25,2,0.143328204,0.395603429,0.543723895,0.692284018,4.103485345,3.671308394
0.001,128,128,3,3,0.25,3,0.145262695,0.414772477,0.552780831,0.706616839,4.135589333,2.943781854
0.001,128,128,5,1,0,1,0.169136074,0.434688943,0.568652451,0.699582326,4.101675714,5.498376073
0.001,128,128,5,1,0,2,0.202637942,0.467399428,0.599472412,0.730534183,4.207394461,2.376871917
0.001,128,128,5,1,0,3,0.189316333,0.472719279,0.607562102,0.738404045,4.570598259,1.617168118
0.001,128,128,5,1,0.25,1,0.18566718,0.455264893,0.589931853,0.712991866,3.958188818,5.349700785
0.001,128,128,5,1,0.25,2,0.177225764,0.436975159,0.572389536,0.716772917,4.269670599,2.498566353
0.001,128,128,5,1,0.25,3,0.181930095,0.4519235,0.594108595,0.732116949,4.500312133,1.802572134
0.001,128,128,5,3,0,1,0.188656848,0.467135634,0.601890525,0.736161794,3.848997353,4.846374834
0.001,128,128,5,3,0,2,0.156517916,0.421719059,0.568652451,0.71571774,4.042054521,3.231163622
0.001,128,128,5,3,0,3,0.153572214,0.413761266,0.563464498,0.719894482,4.318908225,2.375566211
0.001,128,128,5,3,0.25,1,0.167773137,0.440536382,0.575379204,0.706880633,4.000057652,4.986134776
0.001,128,128,5,3,0.25,2,0.140558364,0.413365575,0.557309299,0.701253023,4.119810682,3.672001828
0.001,128,128,5,3,0.25,3,0.134007474,0.390855133,0.5343592,0.689206419,4.258718997,2.964106342
